,Make,Model,Trim,Rebate-Fed,Year-Fed,Category,Eligibility
91,Ford,Mach E,Select RWD Standard Range,"$5,000",2022,BEV,2022-04-25
92,Ford,Mach E,Select eAWD Standard Range,"$5,000",2022,BEV,2022-04-25
93,Ford,Mach E,Premium RWD Standard range,"$5,000",2022,BEV,2022-04-25
94,Ford,Mach E,Premium eAWD Standard range,"$5,000",2022,BEV,2022-04-25
95,Ford,*Escape PHEV,SE,$5000,2021,PHEV,2022-04-25
96,Ford,*Escape PHEV,SEL,$5000,2021,PHEV,2022-04-25
97,Ford,*Escape PHEV,Titanium,$5000,2021,PHEV,2022-04-25
98,Ford,Escape PHEV,SE,"$2,500",2021,PHEV,2021-02-08
99,Ford,Escape PHEV,SEL,"$2,500",2021,PHEV,2021-02-08
100,Ford,Escape PHEV,Titanium,"$2,500",2021,PHEV,2021-02-08
101,Ford,*Escape PHEV,SE,$5000,2020,PHEV,2022-04-25
102,Ford,*Escape PHEV,SEL,$5000,2020,PHEV,2022-04-25
103,Ford,*Escape PHEV,Titanium,$5000,2020,PHEV,2022-04-25
104,Ford,Escape PHEV,SE,"$2,500",2020,PHEV,2020-02-27
105,Ford,Escape PHEV,SEL,"$2,500",2020,PHEV,2020-02-27
106,Ford,Escape PHEV,Titanium,"$2,500",2020,PHEV,2020-02-27
107,Ford,Fusion Energi,SEL,"$2,500",2020,PHEV,2019-08-13
108,Ford,Fusion Energi,Titanium,"$2,500",2020,PHEV,2019-08-13
112,Honda,Clarity Plug-in Hybrid,Base,"$5,000",2021,PHEV,2020-12-09
113,Honda,Clarity Plug-in Hybrid,Touring,"$5,000",2021,PHEV,2020-12-09
114,Honda,Clarity Plug-in Hybrid,Base,"$5,000",2019,PHEV,2019-05-01
115,Honda,Clarity Plug-in Hybrid,Touring,"$5,000",2019,PHEV,2019-05-01
116,Hyundai,*Santa Fe PHEV,Preferred,$5000,2022,PHEV,2022-04-25
117,Hyundai,*Santa Fe PHEV,Luxury,$5000,2022,PHEV,2022-04-25
118,Hyundai,*Tucson PHEV,Preferred,$5000,2022,PHEV,2022-04-25
119,Hyundai,*Tucson PHEV,Luxury,$5000,2022,PHEV,2022-04-25
120,Hyundai,IONIQ 5,Essential,"$5,000",2022,BEV,2021-11-16
121,Hyundai,IONIQ 5,Preferred,"$5,000",2022,BEV,2021-11-16
122,Hyundai,IONIQ 5,Preferred Long Range,"$5,000",2022,BEV,2021-11-16
123,Hyundai,IONIQ 5,Preferred AWD Long Range,"$5,000",2022,BEV,2021-11-16
124,Hyundai,Ioniq plug-In hybrid,Essential,"$2,500",2022,PHEV,2021-09-16
125,Hyundai,Ioniq plug-In hybrid,Preferred,"$2,500",2022,PHEV,2021-09-16
126,Hyundai,Ioniq plug-In hybrid,Ultimate,"$2,500",2022,PHEV,2021-09-16
127,Hyundai,Kona Electric,Preferred,"$5,000",2022,BEV,2021-07-13
128,Hyundai,Kona Electric,Preferred - 2 tone,"$5,000",2022,BEV,2021-07-13
129,Hyundai,Kona Electric,Ultimate,"$5,000",2022,BEV,2021-07-13
130,Hyundai,Santa Fe PHEV,Preferred,"$2,500",2022,PHEV,2021-07-12
131,Hyundai,Santa Fe PHEV,Luxury,"$2,500",2022,PHEV,2021-07-12
132,Hyundai,Tucson PHEV,Luxury,"$2,500",2022,PHEV,2021-07-20
133,Hyundai,Tucson PHEV,Ultimate,"$2,500",2022,PHEV,2021-07-20
134,Hyundai,Ioniq electric,Preferred,"$5,000",2021,BEV,2021-01-27
135,Hyundai,Ioniq electric,Ultimate,"$5,000",2021,BEV,2021-01-27
136,Hyundai,Ioniq plug-In hybrid,Essential,"$2,500",2021,PHEV,2021-01-27
137,Hyundai,Ioniq plug-In hybrid,Preferred,"$2,500",2021,PHEV,2021-01-27
138,Hyundai,Ioniq plug-In hybrid,Ultimate,"$2,500",2021,PHEV,2021-01-27
139,Hyundai,Kona Electric,Essential Preferred,"$5,000",2021,BEV,2020-07-03
140,Hyundai,Kona Electric,Preferred - 2 tone Ultimate,"$5,000",2021,BEV,2020-07-03
141,Hyundai,Ioniq electric,Preferred,"$5,000",2020,BEV,2020-01-16
142,Hyundai,Ioniq electric,Ultimate,"$5,000",2020,BEV,2020-01-16
143,Hyundai,Ioniq Plug-In hybrid,Preferred,"$2,500",2020,PHEV,2020-01-08
144,Hyundai,Ioniq Plug-In hybrid,Ultimate,"$2,500",2020,PHEV,2020-01-08
145,Hyundai,Kona Electric,Essential,"$5,000",2020,BEV,2019-10-15
146,Hyundai,Kona Electric,Preferred,"$5,000",2020,BEV,2019-10-15
147,Hyundai,Kona Electric,Preferred - 2 tone,"$5,000",2020,BEV,2019-10-15
148,Hyundai,Kona Electric,Ultimate,"$5,000",2020,BEV,2019-10-15
149,Hyundai,Ioniq electric Plus,SE,"$2,500",2018,PHEV,2019-06-17
150,Hyundai,Ioniq electric Plus,Limited,"$2,500",2018,PHEV,2019-06-17
154,Hyundai,Ioniq Electric,Preferred,"$5,000", 2019,BEV,2019-05-01
155,Hyundai,Ioniq Electric,Ultimate,"$5,000", 2019,BEV,2019-05-01
156,Hyundai,Ioniq electric Plus,Preferred,"$2,500", 2019,PHEV,2019-05-01
157,Hyundai,Ioniq electric Plus,Ultimate,"$2,500", 2019,PHEV,2019-05-01
158,Kia,*Sorento PHEV,EX,$5000,2022,PHEV,2022-04-25
159,Kia,*Sorento PHEV,EX+,$5000,2022,PHEV,2022-04-25
160,Kia,*Sorento PHEV,SX,$5000,2022,PHEV,2022-04-25
161,Kia,EV6,RWD Standard Range,"$5,000",2022,BEV,2022-02-01
162,Kia,EV6,RWD Long Range,"$5,000",2022,BEV,2022-02-01
163,Kia,EV6,AWD Long Range,"$5,000",2022,BEV,2022-02-01
164,Kia,Niro EV,EX,"$5,000",2022,BEV,2021-08-17
165,Kia,Niro EV,EX+,"$5,000",2022,BEV,2021-08-17
166,Kia,Niro EV,SX Touring,"$5,000",2022,BEV,2021-08-17
167,Kia,Niro PHEV,EX,"$2,500",2022,PHEV,2021-08-16
168,Kia,Niro PHEV,EX Premium,"$2,500",2022,PHEV,2021-08-16
169,Kia,Niro PHEV,SX Touring,"$2,500",2022,PHEV,2021-08-16
170,Kia,Sorento PHEV,EX,"$2,500",2022,PHEV,2021-09-27
171,Kia,Sorento PHEV,EX+,"$2,500",2022,PHEV,2021-09-27
172,Kia,Sorento PHEV,SX,"$2,500",2022,PHEV,2021-09-27
173,Kia,Soul EV,Premium,"$5,000",2022,BEV,2021-07-26
174,Kia,Soul EV,Limited,"$5,000",2022,BEV,2021-07-26
175,Kia,Niro EV,EX,"$5,000",2021,BEV,2021-03-12
176,Kia,Niro EV,EX+,"$5,000",2021,BEV,2021-03-12
177,Kia,Niro EV,SX Touring,"$5,000",2021,BEV,2021-03-12
178,Kia,Niro PHEV,EX,"$2,500",2021,PHEV,2021-03-12
179,Kia,Niro PHEV,EX Premium,"$2,500",2021,PHEV,2021-03-12
180,Kia,Niro PHEV,SX Touring,"$2,500",2021,PHEV,2021-03-12
181,Kia,Soul EV,Premium ,"$5,000",2021,BEV,2020-07-03
182,Kia,Soul EV,Limited,"$5,000",2021,BEV,2020-07-03
183,Kia,Niro EV,SX Touring,"$5,000",2020,BEV,2020-02-03
184,Kia,Niro EV,EX,"$5,000",2020,BEV,2020-02-03
185,Kia,Niro PHEV,EX Premium,"$2,500",2020,PHEV,2020-01-15
186,Kia,Niro PHEV,SX Touring,"$2,500",2020,PHEV,2020-01-15
187,Kia,Niro EV,SX Touring,"$5,000",2019,BEV,2019-05-01
188,Kia,Niro EV,EX,"$5,000",2019,BEV,2019-05-01
189,Kia,Niro PHEV,EX Premium,"$2,500",2019,PHEV,2019-05-01
190,Kia,Niro PHEV,SX,"$2,500",2019,PHEV,2019-05-01
198,Mazda,MX-30,GS,"$5,000",2022,BEV,2021-09-16
199,Mazda,MX-30,GT,"$5,000",2022,BEV,2021-09-16
205,Mitsubishi,Outlander PHEV,SE,"$2,500",2022,PHEV,2021-07-06
206,Mitsubishi,Outlander PHEV,LE,"$2,500",2022,PHEV,2021-07-06
207,Mitsubishi,Outlander PHEV,Black Edition,"$2,500",2022,PHEV,2021-07-06
208,Mitsubishi,Outlander PHEV,GT,"$2,500",2022,PHEV,2021-07-06
209,Mitsubishi,Outlander PHEV,SE,"$2,500",2021,PHEV,2021-03-15
210,Mitsubishi,Outlander PHEV,LE,"$2,500",2021,PHEV,2021-03-15
211,Mitsubishi,Outlander PHEV,SEL,"$2,500",2021,PHEV,2021-03-15
212,Mitsubishi,Outlander PHEV,GT,"$2,500",2021,PHEV,2021-03-15
213,Mitsubishi,Outlander PHEV,SE,"$2,500",2020,PHEV,2019-08-26
214,Mitsubishi,Outlander PHEV,LE,"$2,500",2020,PHEV,2019-08-26
215,Mitsubishi,Outlander PHEV,SEL,"$2,500",2020,PHEV,2019-08-26
216,Mitsubishi,Outlander PHEV,GT,"$2,500",2020,PHEV,2019-08-26
221,Nissan,Leaf,SV,"$5,000",2023,BEV,2022-04-13
222,Nissan,Leaf,SV Plus,"$5,000",2023,BEV,2022-04-13
223,Nissan,Leaf,SL Plus,"$5,000",2023,BEV,2022-04-13
224,Nissan,Leaf,SV,"$5,000",2022,BEV,2021-08-23
225,Nissan,Leaf,S Plus,"$5,000",2022,BEV,2021-08-23
226,Nissan,Leaf,SV Plus,"$5,000",2022,BEV,2021-08-23
227,Nissan,Leaf,SL Plus,"$5,000",2022,BEV,2021-08-23
228,Nissan,Leaf,SV,"$5,000",2021,BEV,2020-11-20
229,Nissan,Leaf,S Plus,"$5,000",2021,BEV,2020-11-20
230,Nissan,Leaf,SV Plus,"$5,000",2021,BEV,2020-11-20
231,Nissan,Leaf,SL Plus,"$5,000",2021,BEV,2020-11-20
232,Nissan,Leaf,S,"$5,000",2020,BEV,2020-01-09
233,Nissan,Leaf,SV,"$5,000",2020,BEV,2020-01-09
234,Nissan,Leaf,S Plus,"$5,000",2020,BEV,2020-01-09
235,Nissan,Leaf,SV Plus,"$5,000",2020,BEV,2020-01-09
236,Nissan,Leaf,SL Plus,"$5,000",2020,BEV,2020-01-09
243,Polestar,2,LRSM,"$5,000",2023,BEV,2022-04-25
244,Polestar,2,LRDM,"$5,000",2023,BEV,2022-04-25
245,Toyota,Prius Prime,Base,"$2,500",2022,PHEV,2021-06-22
246,Toyota,Prius Prime,Technology,"$2,500",2022,PHEV,2021-06-22
247,Toyota,RAV4 Prime,SE,"$5,000",2022,PHEV,2022-01-21
248,Toyota,RAV4 Prime,XSE,"$5,000",2022,PHEV,2022-01-21
249,Toyota,Prius Prime,Base,"$2,500",2021,PHEV,2020-07-20
250,Toyota,Prius Prime,Upgrade,"$2,500",2021,PHEV,2020-07-20
251,Toyota,RAV4 Prime,SE,"$5,000",2021,PHEV,2020-08-12
252,Toyota,RAV4 Prime,XSE,"$5,000",2021,PHEV,2020-08-12
253,Toyota,Prius Prime,Base,"$2,500",2020,PHEV,2019-06-06
254,Toyota,Prius Prime,Upgrade,"$2,500",2020,PHEV,2019-06-06
255,Toyota,Prius Prime,Technology,"$2,500",2020,PHEV,2019-06-06
259,Volkswagen,ID.4,Pro,"$5,000",2022,BEV,2022-04-25
260,Volkswagen,ID.4,AWD Pro,"$5,000",2022,BEV,2022-04-25
261,Volkswagen,ID.4,Pro,"$5,000",2021,BEV,2021-03-30
262,Volkswagen,ID.4,AWD Pro,"$5,000",2021,BEV,2021-03-30
263,Hyundai,Kona Electric,Preferred,"$5,000",2023,BEV,2022-07-22
264,Hyundai,Kona Electric,Preferred - 2 tone,"$5,000",2023,BEV,2022-07-22
265,Hyundai,Kona Electric,Ultimate,"$5,000",2023,BEV,2022-07-22
266,Jeep,Wrangler 4xe,Unlimited Sahara,"$2,500",2022,PHEV,2022-04-25
267,Jeep,Wrangler 4xe,Unlimited Rubicon,"$2,500",2022,PHEV,2022-04-25
268,Jeep,Wrangler 4xe,,"$2,500",2021,PHEV,2022-04-25
269,Jeep,Wrangler 4xe,Unlimited Sahara,"$2,500",2021,PHEV,2022-04-25
270,Jeep,Wrangler 4xe,Unlimited Sahara High Altitude,"$2,500",2021,PHEV,2022-04-25
271,Jeep,Wrangler 4xe,Unlimited Rubicon,"$2,500",2021,PHEV,2022-04-25
272,Jeep,Wrangler 4xe,,"$2,500",2021,PHEV,2022-04-25
273,Honda,Clarity Plug-in Hybrid,Base Touring,"$5,000",2018,PHEV,2019-12-03
274,Honda,Clarity Plug-in Hybrid,Base Touring,"$5,000",2020,PHEV,2019-12-03
275,Hyundai,Sonata PHEV,Ultimate,"$2,500", 2018,PHEV,2019-05-01
276,Hyundai,Sonata PHEV,Ultimate,"$2,500",2019,PHEV,2019-05-01
277,smart,EQ fortwo coupe,-,"$5,000",2018,BEV,2019-05-01
278,smart,EQ fortwo coupe,-,"$5,000",2019,BEV,2019-05-01
279,smart,EQ fortwo cabriolet,-,"$5,000",2018,BEV,2019-05-01
280,smart,EQ fortwo cabriolet,-,"$5,000",2019,BEV,2019-05-01
281,smart,fortwo electric drive cabriolet,-,"$5,000",2017,BEV,2019-05-01
282,smart,fortwo electric drive cabriolet,-,"$5,000",2018,BEV,2019-05-01
283,smart,fortwo electric drive coupe,-,"$5,000",2017,BEV,2019-05-01
284,smart,fortwo electric drive coupe,-,"$5,000",2018,BEV,2019-05-01
285,Volkswagen,e-Golf,Comfortline,"$5,000",2017,BEV,2019-09-16
286,Volkswagen,e-Golf,Comfortline,"$5,000",2018,BEV,2019-09-16
287,BMW,i3,Base,"$5,000",2018,BEV,2019-05-29
288,BMW,i3,Base,"$5,000",2019,BEV,2019-05-29
289,BMW,i3,s,"$5,000",2018,BEV,2019-05-29
290,BMW,i3,s,"$5,000",2019,BEV,2019-05-29
291,BMW,i3,Range Extender,"$5,000",2018,PHEV,2019-05-29
292,BMW,i3,Range Extender,"$5,000",2019,PHEV,2019-05-29
293,BMW,i3,s Range Extender,"$5,000",2018,PHEV,2019-05-29
294,BMW,i3,s Range Extender,"$5,000",2019,PHEV,2019-05-29
295,Chevrolet,Bolt,LT (2LT),"$5,000",2018,BEV,2019-05-01
296,Chevrolet,Bolt,LT (2LT),"$5,000",2019,BEV,2019-05-01
297,Chevrolet,Bolt,Premier (2LZ),"$5,000",2018,BEV,2019-05-01
298,Chevrolet,Bolt,Premier (2LZ),"$5,000",2019,BEV,2019-05-01
299,Chevrolet,Volt,LT (2LT),"$5,000",2018,PHEV,2019-05-01
300,Chevrolet,Volt,LT (2LT),"$5,000",2019,PHEV,2019-05-01
301,Chevrolet,Volt,Premier (2LZ),"$5,000",2018,PHEV,2019-05-01
302,Chevrolet,Volt,Premier (2LZ),"$5,000",2019,PHEV,2019-05-01
303,Chrysler,Pacifica Hybrid,Touring,"$5,000",2017,PHEV,2019-05-01
304,Chrysler,Pacifica Hybrid,Touring,"$5,000",2018,PHEV,2019-05-01
305,Chrysler,Pacifica Hybrid,Touring,"$5,000",2019,PHEV,2019-05-01
306,Chrysler,Pacifica Hybrid,Touring L,"$5,000",2017,PHEV,2019-05-01
307,Chrysler,Pacifica Hybrid,Touring L,"$5,000",2018,PHEV,2019-05-01
308,Chrysler,Pacifica Hybrid,Touring L,"$5,000",2019,PHEV,2019-05-01
309,Chrysler,Pacifica Hybrid,Touring Plus,"$5,000",2017,PHEV,2019-05-01
310,Chrysler,Pacifica Hybrid,Touring Plus,"$5,000",2018,PHEV,2019-05-01
311,Chrysler,Pacifica Hybrid,Touring Plus,"$5,000",2019,PHEV,2019-05-01
312,Chrysler,Pacifica Hybrid,Premium,"$5,000",2017,PHEV,2019-05-01
313,Chrysler,Pacifica Hybrid,Premium,"$5,000",2018,PHEV,2019-05-01
314,Chrysler,Pacifica Hybrid,Premium,"$5,000",2019,PHEV,2019-05-01
315,Chrysler,Pacifica Hybrid,Platinum,"$5,000",2017,PHEV,2019-05-01
316,Chrysler,Pacifica Hybrid,Platinum,"$5,000",2018,PHEV,2019-05-01
317,Chrysler,Pacifica Hybrid,Platinum,"$5,000",2019,PHEV,2019-05-01
318,Chrysler,Pacifica Hybrid,Limited,"$5,000",2017,PHEV,2019-05-01
319,Chrysler,Pacifica Hybrid,Limited,"$5,000",2018,PHEV,2019-05-01
320,Chrysler,Pacifica Hybrid,Limited,"$5,000",2019,PHEV,2019-05-01
321,Ford,Fusion Energi,SEL,"$2,500",2018,PHEV,2019-05-01
322,Ford,Fusion Energi,SEL,"$2,500",2019,PHEV,2019-05-01
323,Ford,Fusion Energi,Titanium,"$2,500",2018,PHEV,2019-05-01
324,Ford,Fusion Energi,Titanium,"$2,500",2019,PHEV,2019-05-01
325,Ford,Fusion Energi,Platinum,"$2,500",2018,PHEV,2019-05-01
326,Ford,Fusion Energi,Platinum,"$2,500",2019,PHEV,2019-05-01
327,Hyundai,Ioniq Electric,SE,"$5,000",2017,BEV,2019-06-17
328,Hyundai,Ioniq Electric,SE,"$5,000",2018,BEV,2019-06-17
329,Hyundai,Ioniq Electric,SE CCP,"$5,000",2017,BEV,2019-06-17
330,Hyundai,Ioniq Electric,SE CCP,"$5,000",2018,BEV,2019-06-17
331,Hyundai,Ioniq Electric,Limited,"$5,000",2017,BEV,2019-06-17
332,Hyundai,Ioniq Electric,Limited,"$5,000",2018,BEV,2019-06-17
333,Kia,Optima PHEV,EX,"$2,500",2017,PHEV,2019-05-01
334,Kia,Optima PHEV,EX,"$2,500",2018,PHEV,2019-05-01
335,Kia,Optima PHEV,EX,"$2,500",2019,PHEV,2019-05-01
336,Kia,Optima PHEV,EX,"$2,500",2020,PHEV,2019-05-01
337,Kia,Optima PHEV,EX Premium,"$2,500",2017,PHEV,2019-05-01
338,Kia,Optima PHEV,EX Premium,"$2,500",2018,PHEV,2019-05-01
339,Kia,Optima PHEV,EX Premium,"$2,500",2019,PHEV,2019-05-01
340,Kia,Optima PHEV,EX Premium,"$2,500",2020,PHEV,2019-05-01
341,Kia,Soul EV,EV,"$5,000",2017,BEV,2019-05-01
342,Kia,Soul EV,EV,"$5,000",2018,BEV,2019-05-01
343,Kia,Soul EV,EV,"$5,000",2019,BEV,2019-05-01
344,Kia,Soul EV,EV,"$5,000",2020,BEV,2019-05-01
345,Kia,Soul EV,EV Luxury,"$5,000",2017,BEV,2019-05-01
346,Kia,Soul EV,EV Luxury,"$5,000",2018,BEV,2019-05-01
347,Kia,Soul EV,EV Luxury,"$5,000",2019,BEV,2019-05-01
348,Kia,Soul EV,EV Luxury,"$5,000",2020,BEV,2019-05-01
349,Kia,Soul EV,EV Luxury Sunroof,"$5,000",2017,BEV,2019-05-01
350,Kia,Soul EV,EV Luxury Sunroof,"$5,000",2018,BEV,2019-05-01
351,Kia,Soul EV,EV Luxury Sunroof,"$5,000",2019,BEV,2019-05-01
352,Kia,Soul EV,EV Luxury Sunroof,"$5,000",2020,BEV,2019-05-01
353,Kia,Soul EV,EV Premium,"$5,000",2017,BEV,2019-05-01
354,Kia,Soul EV,EV Premium,"$5,000",2018,BEV,2019-05-01
355,Kia,Soul EV,EV Premium,"$5,000",2019,BEV,2019-05-01
356,Kia,Soul EV,EV Premium,"$5,000",2020,BEV,2019-05-01
357,Kia,Soul EV,EV Limited,"$5,000",2017,BEV,2019-05-01
358,Kia,Soul EV,EV Limited,"$5,000",2018,BEV,2019-05-01
359,Kia,Soul EV,EV Limited,"$5,000",2019,BEV,2019-05-01
360,Kia,Soul EV,EV Limited,"$5,000",2020,BEV,2019-05-01
361,MINI,Cooper SE 3 Door,Classic,"$5,000",2020,BEV,2020-02-13
362,MINI,Cooper SE 3 Door,Classic,"$5,000",2021,BEV,2020-02-13
363,MINI,Cooper SE 3 Door,Premier,"$5,000",2020,BEV,2020-02-13
364,MINI,Cooper SE 3 Door,Premier,"$5,000",2021,BEV,2020-02-13
365,MINI,Cooper SE 3 Door,Premier+,"$5,000",2020,BEV,2020-02-13
366,MINI,Cooper SE 3 Door,Premier+,"$5,000",2021,BEV,2020-02-13
367,MINI,Countryman,Cooper S E All4,"$2,500",2018,PHEV,2019-05-01
368,MINI,Countryman,Cooper S E All4,"$2,500",2019,PHEV,2019-05-01
369,MINI,Countryman,Cooper S E All4,"$2,500",2020,PHEV,2019-05-01
370,MINI,Countryman,Cooper SE All4,"$2,500",2018,PHEV,2019-05-01
371,MINI,Countryman,Cooper SE All4,"$2,500",2019,PHEV,2019-05-01
372,MINI,Countryman,Cooper SE All4,"$2,500",2020,PHEV,2019-05-01
373,Mitsubishi,Outlander PHEV,SE-Base,"$2,500",2018,PHEV,2019-05-01
374,Mitsubishi,Outlander PHEV,SE-Base,"$2,500",2019,PHEV,2019-05-01
375,Mitsubishi,Outlander PHEV,SE Limited Edition,"$2,500",2018,PHEV,2019-05-01
376,Mitsubishi,Outlander PHEV,SE Limited Edition,"$2,500",2019,PHEV,2019-05-01
377,Mitsubishi,Outlander PHEV,SE Touring,"$2,500",2018,PHEV,2019-05-01
378,Mitsubishi,Outlander PHEV,SE Touring,"$2,500",2019,PHEV,2019-05-01
379,Mitsubishi,Outlander PHEV,GT,"$2,500",2018,PHEV,2019-05-01
380,Mitsubishi,Outlander PHEV,GT,"$2,500",2019,PHEV,2019-05-01
381,Nissan,Leaf,S,"$5,000",2018,BEV,2019-05-01
382,Nissan,Leaf,S,"$5,000",2019,BEV,2019-05-01
383,Nissan,Leaf,SV,"$5,000",2018,BEV,2019-05-01
384,Nissan,Leaf,SV,"$5,000",2019,BEV,2019-05-01
385,Nissan,Leaf,SL,"$5,000",2018,BEV,2019-05-01
386,Nissan,Leaf,SL,"$5,000",2019,BEV,2019-05-01
387,Nissan,Leaf,S Plus,"$5,000",2018,BEV,2019-05-01
388,Nissan,Leaf,S Plus,"$5,000",2019,BEV,2019-05-01
389,Nissan,Leaf,SV Plus,"$5,000",2018,BEV,2019-05-01
390,Nissan,Leaf,SV Plus,"$5,000",2019,BEV,2019-05-01
391,Nissan,Leaf,SL Plus,"$5,000",2018,BEV,2019-05-01
392,Nissan,Leaf,SL Plus,"$5,000",2019,BEV,2019-05-01
393,Toyota,Prius Prime,Base,"$2,500",2018,PHEV,2019-05-01
