,Make,Model,Trim,Rebate-Fed,Year-Fed,Category,Eligibility,Rebate-QC,Year-QC
87,Ford,Fusion Energi,Titanium,"$2,500",2020.0,PHEV,2019-08-13,,
88,Honda,Clarity Plug-in Hybrid,Base,"$5,000",2021.0,PHEV,2020-12-09,,
89,Honda,Clarity Plug-in Hybrid,Touring,"$5,000",2021.0,PHEV,2020-12-09,,
90,Honda,Clarity Plug-in Hybrid,Base,"$5,000",2019.0,PHEV,2019-05-01,,
91,Honda,Clarity Plug-in Hybrid,Touring,"$5,000",2019.0,PHEV,2019-05-01,,
92,Hyundai,*Santa Fe PHEV,Preferred,$5000,2022.0,PHEV,2022-04-25,,
93,Hyundai,*Santa Fe PHEV,Luxury,$5000,2022.0,PHEV,2022-04-25,,
94,Hyundai,*Tucson PHEV,Preferred,$5000,2022.0,PHEV,2022-04-25,,
95,Hyundai,*Tucson PHEV,Luxury,$5000,2022.0,PHEV,2022-04-25,,
96,Hyundai,IONIQ 5,Essential,"$5,000",2022.0,BEV,2021-11-16,,
97,Hyundai,IONIQ 5,Preferred,"$5,000",2022.0,BEV,2021-11-16,,
98,Hyundai,IONIQ 5,Preferred Long Range,"$5,000",2022.0,BEV,2021-11-16,,
99,Hyundai,IONIQ 5,Preferred AWD Long Range,"$5,000",2022.0,BEV,2021-11-16,,
100,Hyundai,Ioniq plug-In hybrid,Essential,"$2,500",2022.0,PHEV,2021-09-16,,
101,Hyundai,Ioniq plug-In hybrid,Preferred,"$2,500",2022.0,PHEV,2021-09-16,,
102,Hyundai,Ioniq plug-In hybrid,Ultimate,"$2,500",2022.0,PHEV,2021-09-16,,
103,Hyundai,Kona Electric,Preferred,"$5,000",2022.0,BEV,2021-07-13,,
104,Hyundai,Kona Electric,Preferred - 2 tone,"$5,000",2022.0,BEV,2021-07-13,,
105,Hyundai,Kona Electric,Ultimate,"$5,000",2022.0,BEV,2021-07-13,,
106,Hyundai,Santa Fe PHEV,Preferred,"$2,500",2022.0,PHEV,2021-07-12,,
107,Hyundai,Santa Fe PHEV,Luxury,"$2,500",2022.0,PHEV,2021-07-12,,
108,Hyundai,Tucson PHEV,Luxury,"$2,500",2022.0,PHEV,2021-07-20,,
109,Hyundai,Tucson PHEV,Ultimate,"$2,500",2022.0,PHEV,2021-07-20,,
110,Hyundai,Ioniq electric,Preferred,"$5,000",2021.0,BEV,2021-01-27,,
111,Hyundai,Ioniq electric,Ultimate,"$5,000",2021.0,BEV,2021-01-27,,
112,Hyundai,Ioniq plug-In hybrid,Essential,"$2,500",2021.0,PHEV,2021-01-27,,
113,Hyundai,Ioniq plug-In hybrid,Preferred,"$2,500",2021.0,PHEV,2021-01-27,,
114,Hyundai,Ioniq plug-In hybrid,Ultimate,"$2,500",2021.0,PHEV,2021-01-27,,
115,Hyundai,Kona Electric,Essential Preferred,"$5,000",2021.0,BEV,2020-07-03,,
116,Hyundai,Kona Electric,Preferred - 2 tone Ultimate,"$5,000",2021.0,BEV,2020-07-03,,
117,Hyundai,Ioniq electric,Preferred,"$5,000",2020.0,BEV,2020-01-16,,
118,Hyundai,Ioniq electric,Ultimate,"$5,000",2020.0,BEV,2020-01-16,,
119,Hyundai,Ioniq Plug-In hybrid,Preferred,"$2,500",2020.0,PHEV,2020-01-08,,
120,Hyundai,Ioniq Plug-In hybrid,Ultimate,"$2,500",2020.0,PHEV,2020-01-08,,
121,Hyundai,Kona Electric,Essential,"$5,000",2020.0,BEV,2019-10-15,,
122,Hyundai,Kona Electric,Preferred,"$5,000",2020.0,BEV,2019-10-15,,
123,Hyundai,Kona Electric,Preferred - 2 tone,"$5,000",2020.0,BEV,2019-10-15,,
124,Hyundai,Kona Electric,Ultimate,"$5,000",2020.0,BEV,2019-10-15,,
125,Hyundai,Ioniq electric Plus,SE,"$2,500",2018.0,PHEV,2019-06-17,,
126,Hyundai,Ioniq electric Plus,Limited,"$2,500",2018.0,PHEV,2019-06-17,,
127,Hyundai,Ioniq Electric,Preferred,"$5,000",2019.0,BEV,2019-05-01,,
128,Hyundai,Ioniq Electric,Ultimate,"$5,000",2019.0,BEV,2019-05-01,,
129,Hyundai,Ioniq electric Plus,Preferred,"$2,500",2019.0,PHEV,2019-05-01,,
130,Hyundai,Ioniq electric Plus,Ultimate,"$2,500",2019.0,PHEV,2019-05-01,,
131,Kia,*Sorento PHEV,EX,$5000,2022.0,PHEV,2022-04-25,,
132,Kia,*Sorento PHEV,EX+,$5000,2022.0,PHEV,2022-04-25,,
133,Kia,*Sorento PHEV,SX,$5000,2022.0,PHEV,2022-04-25,,
134,Kia,EV6,RWD Standard Range,"$5,000",2022.0,BEV,2022-02-01,,
135,Kia,EV6,RWD Long Range,"$5,000",2022.0,BEV,2022-02-01,,
136,Kia,EV6,AWD Long Range,"$5,000",2022.0,BEV,2022-02-01,,
137,Kia,Niro EV,EX,"$5,000",2022.0,BEV,2021-08-17,,
138,Kia,Niro EV,EX+,"$5,000",2022.0,BEV,2021-08-17,,
139,Kia,Niro EV,SX Touring,"$5,000",2022.0,BEV,2021-08-17,,
140,Kia,Niro PHEV,EX,"$2,500",2022.0,PHEV,2021-08-16,,
141,Kia,Niro PHEV,EX Premium,"$2,500",2022.0,PHEV,2021-08-16,,
142,Kia,Niro PHEV,SX Touring,"$2,500",2022.0,PHEV,2021-08-16,,
143,Kia,Sorento PHEV,EX,"$2,500",2022.0,PHEV,2021-09-27,,
144,Kia,Sorento PHEV,EX+,"$2,500",2022.0,PHEV,2021-09-27,,
145,Kia,Sorento PHEV,SX,"$2,500",2022.0,PHEV,2021-09-27,,
146,Kia,Soul EV,Premium,"$5,000",2022.0,BEV,2021-07-26,,
147,Kia,Soul EV,Limited,"$5,000",2022.0,BEV,2021-07-26,,
148,Kia,Niro EV,EX,"$5,000",2021.0,BEV,2021-03-12,,
149,Kia,Niro EV,EX+,"$5,000",2021.0,BEV,2021-03-12,,
150,Kia,Niro EV,SX Touring,"$5,000",2021.0,BEV,2021-03-12,,
151,Kia,Niro PHEV,EX,"$2,500",2021.0,PHEV,2021-03-12,,
152,Kia,Niro PHEV,EX Premium,"$2,500",2021.0,PHEV,2021-03-12,,
153,Kia,Niro PHEV,SX Touring,"$2,500",2021.0,PHEV,2021-03-12,,
154,Kia,Soul EV,Premium ,"$5,000",2021.0,BEV,2020-07-03,,
155,Kia,Soul EV,Limited,"$5,000",2021.0,BEV,2020-07-03,,
156,Kia,Niro EV,SX Touring,"$5,000",2020.0,BEV,2020-02-03,,
157,Kia,Niro EV,EX,"$5,000",2020.0,BEV,2020-02-03,,
158,Kia,Niro PHEV,EX Premium,"$2,500",2020.0,PHEV,2020-01-15,,
159,Kia,Niro PHEV,SX Touring,"$2,500",2020.0,PHEV,2020-01-15,,
160,Kia,Niro EV,SX Touring,"$5,000",2019.0,BEV,2019-05-01,,
161,Kia,Niro EV,EX,"$5,000",2019.0,BEV,2019-05-01,,
162,Kia,Niro PHEV,EX Premium,"$2,500",2019.0,PHEV,2019-05-01,,
163,Kia,Niro PHEV,SX,"$2,500",2019.0,PHEV,2019-05-01,,
164,Mazda,MX-30,GS,"$5,000",2022.0,BEV,2021-09-16,,
165,Mazda,MX-30,GT,"$5,000",2022.0,BEV,2021-09-16,,
166,Mitsubishi,Outlander PHEV,SE,"$2,500",2022.0,PHEV,2021-07-06,,
167,Mitsubishi,Outlander PHEV,LE,"$2,500",2022.0,PHEV,2021-07-06,,
168,Mitsubishi,Outlander PHEV,Black Edition,"$2,500",2022.0,PHEV,2021-07-06,,
169,Mitsubishi,Outlander PHEV,GT,"$2,500",2022.0,PHEV,2021-07-06,,
170,Mitsubishi,Outlander PHEV,SE,"$2,500",2021.0,PHEV,2021-03-15,,
171,Mitsubishi,Outlander PHEV,LE,"$2,500",2021.0,PHEV,2021-03-15,,
172,Mitsubishi,Outlander PHEV,SEL,"$2,500",2021.0,PHEV,2021-03-15,,
173,Mitsubishi,Outlander PHEV,GT,"$2,500",2021.0,PHEV,2021-03-15,,
174,Mitsubishi,Outlander PHEV,SE,"$2,500",2020.0,PHEV,2019-08-26,,
175,Mitsubishi,Outlander PHEV,LE,"$2,500",2020.0,PHEV,2019-08-26,,
176,Mitsubishi,Outlander PHEV,SEL,"$2,500",2020.0,PHEV,2019-08-26,,
177,Mitsubishi,Outlander PHEV,GT,"$2,500",2020.0,PHEV,2019-08-26,,
178,Nissan,Leaf,SV,"$5,000",2023.0,BEV,2022-04-13,,
179,Nissan,Leaf,SV Plus,"$5,000",2023.0,BEV,2022-04-13,,
180,Nissan,Leaf,SL Plus,"$5,000",2023.0,BEV,2022-04-13,,
181,Nissan,Leaf,SV,"$5,000",2022.0,BEV,2021-08-23,,
182,Nissan,Leaf,S Plus,"$5,000",2022.0,BEV,2021-08-23,,
183,Nissan,Leaf,SV Plus,"$5,000",2022.0,BEV,2021-08-23,,
184,Nissan,Leaf,SL Plus,"$5,000",2022.0,BEV,2021-08-23,,
185,Nissan,Leaf,SV,"$5,000",2021.0,BEV,2020-11-20,,
186,Nissan,Leaf,S Plus,"$5,000",2021.0,BEV,2020-11-20,,
187,Nissan,Leaf,SV Plus,"$5,000",2021.0,BEV,2020-11-20,,
188,Nissan,Leaf,SL Plus,"$5,000",2021.0,BEV,2020-11-20,,
189,Nissan,Leaf,S,"$5,000",2020.0,BEV,2020-01-09,,
190,Nissan,Leaf,SV,"$5,000",2020.0,BEV,2020-01-09,,
191,Nissan,Leaf,S Plus,"$5,000",2020.0,BEV,2020-01-09,,
192,Nissan,Leaf,SV Plus,"$5,000",2020.0,BEV,2020-01-09,,
193,Nissan,Leaf,SL Plus,"$5,000",2020.0,BEV,2020-01-09,,
194,Polestar,2,LRSM,"$5,000",2023.0,BEV,2022-04-25,,
195,Polestar,2,LRDM,"$5,000",2023.0,BEV,2022-04-25,,
196,Toyota,Prius Prime,Base,"$2,500",2022.0,PHEV,2021-06-22,,
197,Toyota,Prius Prime,Technology,"$2,500",2022.0,PHEV,2021-06-22,,
198,Toyota,RAV4 Prime,SE,"$5,000",2022.0,PHEV,2022-01-21,,
199,Toyota,RAV4 Prime,XSE,"$5,000",2022.0,PHEV,2022-01-21,,
200,Toyota,Prius Prime,Base,"$2,500",2021.0,PHEV,2020-07-20,,
201,Toyota,Prius Prime,Upgrade,"$2,500",2021.0,PHEV,2020-07-20,,
202,Toyota,RAV4 Prime,SE,"$5,000",2021.0,PHEV,2020-08-12,,
203,Toyota,RAV4 Prime,XSE,"$5,000",2021.0,PHEV,2020-08-12,,
204,Toyota,Prius Prime,Base,"$2,500",2020.0,PHEV,2019-06-06,,
205,Toyota,Prius Prime,Upgrade,"$2,500",2020.0,PHEV,2019-06-06,,
206,Toyota,Prius Prime,Technology,"$2,500",2020.0,PHEV,2019-06-06,,
207,Volkswagen,ID.4,Pro,"$5,000",2022.0,BEV,2022-04-25,,
208,Volkswagen,ID.4,AWD Pro,"$5,000",2022.0,BEV,2022-04-25,,
209,Volkswagen,ID.4,Pro,"$5,000",2021.0,BEV,2021-03-30,,
210,Volkswagen,ID.4,AWD Pro,"$5,000",2021.0,BEV,2021-03-30,,
211,Hyundai,Kona Electric,Preferred,"$5,000",2023.0,BEV,2022-07-22,,
212,Hyundai,Kona Electric,Preferred - 2 tone,"$5,000",2023.0,BEV,2022-07-22,,
213,Hyundai,Kona Electric,Ultimate,"$5,000",2023.0,BEV,2022-07-22,,
214,Jeep,Wrangler 4xe,Unlimited Sahara,"$2,500",2022.0,PHEV,2022-04-25,,
215,Jeep,Wrangler 4xe,Unlimited Rubicon,"$2,500",2022.0,PHEV,2022-04-25,,
216,Jeep,Wrangler 4xe,,"$2,500",2021.0,PHEV,2022-04-25,,
217,Jeep,Wrangler 4xe,Unlimited Sahara,"$2,500",2021.0,PHEV,2022-04-25,,
218,Jeep,Wrangler 4xe,Unlimited Sahara High Altitude,"$2,500",2021.0,PHEV,2022-04-25,,
219,Jeep,Wrangler 4xe,Unlimited Rubicon,"$2,500",2021.0,PHEV,2022-04-25,,
220,Jeep,Wrangler 4xe,,"$2,500",2021.0,PHEV,2022-04-25,,
221,Honda,Clarity Plug-in Hybrid,Base Touring,"$5,000",2018.0,PHEV,2019-12-03,,
222,Honda,Clarity Plug-in Hybrid,Base Touring,"$5,000",2020.0,PHEV,2019-12-03,,
223,Hyundai,Sonata PHEV,Ultimate,"$2,500",2018.0,PHEV,2019-05-01,,
224,Hyundai,Sonata PHEV,Ultimate,"$2,500",2019.0,PHEV,2019-05-01,,
225,smart,EQ fortwo coupe,-,"$5,000",2018.0,BEV,2019-05-01,,
226,smart,EQ fortwo coupe,-,"$5,000",2019.0,BEV,2019-05-01,,
227,smart,EQ fortwo cabriolet,-,"$5,000",2018.0,BEV,2019-05-01,,
228,smart,EQ fortwo cabriolet,-,"$5,000",2019.0,BEV,2019-05-01,,
229,smart,fortwo electric drive cabriolet,-,"$5,000",2017.0,BEV,2019-05-01,,
230,smart,fortwo electric drive cabriolet,-,"$5,000",2018.0,BEV,2019-05-01,,
231,smart,fortwo electric drive coupe,-,"$5,000",2017.0,BEV,2019-05-01,,
232,smart,fortwo electric drive coupe,-,"$5,000",2018.0,BEV,2019-05-01,,
233,Volkswagen,e-Golf,Comfortline,"$5,000",2017.0,BEV,2019-09-16,,
234,Volkswagen,e-Golf,Comfortline,"$5,000",2018.0,BEV,2019-09-16,,
235,BMW,i3,Base,"$5,000",2018.0,BEV,2019-05-29,,
236,BMW,i3,Base,"$5,000",2019.0,BEV,2019-05-29,,
237,BMW,i3,s,"$5,000",2018.0,BEV,2019-05-29,,
238,BMW,i3,s,"$5,000",2019.0,BEV,2019-05-29,,
239,BMW,i3,Range Extender,"$5,000",2018.0,PHEV,2019-05-29,,
240,BMW,i3,Range Extender,"$5,000",2019.0,PHEV,2019-05-29,,
241,BMW,i3,s Range Extender,"$5,000",2018.0,PHEV,2019-05-29,,
242,BMW,i3,s Range Extender,"$5,000",2019.0,PHEV,2019-05-29,,
243,Chevrolet,Bolt,LT (2LT),"$5,000",2018.0,BEV,2019-05-01,,
244,Chevrolet,Bolt,LT (2LT),"$5,000",2019.0,BEV,2019-05-01,,
245,Chevrolet,Bolt,Premier (2LZ),"$5,000",2018.0,BEV,2019-05-01,,
246,Chevrolet,Bolt,Premier (2LZ),"$5,000",2019.0,BEV,2019-05-01,,
247,Chevrolet,Volt,LT (2LT),"$5,000",2018.0,PHEV,2019-05-01,,
248,Chevrolet,Volt,LT (2LT),"$5,000",2019.0,PHEV,2019-05-01,,
249,Chevrolet,Volt,Premier (2LZ),"$5,000",2018.0,PHEV,2019-05-01,,
250,Chevrolet,Volt,Premier (2LZ),"$5,000",2019.0,PHEV,2019-05-01,,
251,Chrysler,Pacifica Hybrid,Touring,"$5,000",2017.0,PHEV,2019-05-01,,
252,Chrysler,Pacifica Hybrid,Touring,"$5,000",2018.0,PHEV,2019-05-01,,
253,Chrysler,Pacifica Hybrid,Touring,"$5,000",2019.0,PHEV,2019-05-01,,
254,Chrysler,Pacifica Hybrid,Touring L,"$5,000",2017.0,PHEV,2019-05-01,,
255,Chrysler,Pacifica Hybrid,Touring L,"$5,000",2018.0,PHEV,2019-05-01,,
256,Chrysler,Pacifica Hybrid,Touring L,"$5,000",2019.0,PHEV,2019-05-01,,
257,Chrysler,Pacifica Hybrid,Touring Plus,"$5,000",2017.0,PHEV,2019-05-01,,
258,Chrysler,Pacifica Hybrid,Touring Plus,"$5,000",2018.0,PHEV,2019-05-01,,
259,Chrysler,Pacifica Hybrid,Touring Plus,"$5,000",2019.0,PHEV,2019-05-01,,
260,Chrysler,Pacifica Hybrid,Premium,"$5,000",2017.0,PHEV,2019-05-01,,
261,Chrysler,Pacifica Hybrid,Premium,"$5,000",2018.0,PHEV,2019-05-01,,
262,Chrysler,Pacifica Hybrid,Premium,"$5,000",2019.0,PHEV,2019-05-01,,
263,Chrysler,Pacifica Hybrid,Platinum,"$5,000",2017.0,PHEV,2019-05-01,,
264,Chrysler,Pacifica Hybrid,Platinum,"$5,000",2018.0,PHEV,2019-05-01,,
265,Chrysler,Pacifica Hybrid,Platinum,"$5,000",2019.0,PHEV,2019-05-01,,
266,Chrysler,Pacifica Hybrid,Limited,"$5,000",2017.0,PHEV,2019-05-01,,
267,Chrysler,Pacifica Hybrid,Limited,"$5,000",2018.0,PHEV,2019-05-01,,
268,Chrysler,Pacifica Hybrid,Limited,"$5,000",2019.0,PHEV,2019-05-01,,
269,Ford,Fusion Energi,SEL,"$2,500",2018.0,PHEV,2019-05-01,,
270,Ford,Fusion Energi,SEL,"$2,500",2019.0,PHEV,2019-05-01,,
271,Ford,Fusion Energi,Titanium,"$2,500",2018.0,PHEV,2019-05-01,,
272,Ford,Fusion Energi,Titanium,"$2,500",2019.0,PHEV,2019-05-01,,
273,Ford,Fusion Energi,Platinum,"$2,500",2018.0,PHEV,2019-05-01,,
274,Ford,Fusion Energi,Platinum,"$2,500",2019.0,PHEV,2019-05-01,,
275,Hyundai,Ioniq Electric,SE,"$5,000",2017.0,BEV,2019-06-17,,
276,Hyundai,Ioniq Electric,SE,"$5,000",2018.0,BEV,2019-06-17,,
277,Hyundai,Ioniq Electric,SE CCP,"$5,000",2017.0,BEV,2019-06-17,,
278,Hyundai,Ioniq Electric,SE CCP,"$5,000",2018.0,BEV,2019-06-17,,
279,Hyundai,Ioniq Electric,Limited,"$5,000",2017.0,BEV,2019-06-17,,
280,Hyundai,Ioniq Electric,Limited,"$5,000",2018.0,BEV,2019-06-17,,
281,Kia,Optima PHEV,EX,"$2,500",2017.0,PHEV,2019-05-01,,
282,Kia,Optima PHEV,EX,"$2,500",2018.0,PHEV,2019-05-01,,
283,Kia,Optima PHEV,EX,"$2,500",2019.0,PHEV,2019-05-01,,
284,Kia,Optima PHEV,EX,"$2,500",2020.0,PHEV,2019-05-01,,
285,Kia,Optima PHEV,EX Premium,"$2,500",2017.0,PHEV,2019-05-01,,
286,Kia,Optima PHEV,EX Premium,"$2,500",2018.0,PHEV,2019-05-01,,
287,Kia,Optima PHEV,EX Premium,"$2,500",2019.0,PHEV,2019-05-01,,
288,Kia,Optima PHEV,EX Premium,"$2,500",2020.0,PHEV,2019-05-01,,
289,Kia,Soul EV,EV,"$5,000",2017.0,BEV,2019-05-01,,
290,Kia,Soul EV,EV,"$5,000",2018.0,BEV,2019-05-01,,
291,Kia,Soul EV,EV,"$5,000",2019.0,BEV,2019-05-01,,
292,Kia,Soul EV,EV,"$5,000",2020.0,BEV,2019-05-01,,
293,Kia,Soul EV,EV Luxury,"$5,000",2017.0,BEV,2019-05-01,,
294,Kia,Soul EV,EV Luxury,"$5,000",2018.0,BEV,2019-05-01,,
295,Kia,Soul EV,EV Luxury,"$5,000",2019.0,BEV,2019-05-01,,
296,Kia,Soul EV,EV Luxury,"$5,000",2020.0,BEV,2019-05-01,,
297,Kia,Soul EV,EV Luxury Sunroof,"$5,000",2017.0,BEV,2019-05-01,,
298,Kia,Soul EV,EV Luxury Sunroof,"$5,000",2018.0,BEV,2019-05-01,,
299,Kia,Soul EV,EV Luxury Sunroof,"$5,000",2019.0,BEV,2019-05-01,,
300,Kia,Soul EV,EV Luxury Sunroof,"$5,000",2020.0,BEV,2019-05-01,,
301,Kia,Soul EV,EV Premium,"$5,000",2017.0,BEV,2019-05-01,,
302,Kia,Soul EV,EV Premium,"$5,000",2018.0,BEV,2019-05-01,,
303,Kia,Soul EV,EV Premium,"$5,000",2019.0,BEV,2019-05-01,,
304,Kia,Soul EV,EV Premium,"$5,000",2020.0,BEV,2019-05-01,,
305,Kia,Soul EV,EV Limited,"$5,000",2017.0,BEV,2019-05-01,,
306,Kia,Soul EV,EV Limited,"$5,000",2018.0,BEV,2019-05-01,,
307,Kia,Soul EV,EV Limited,"$5,000",2019.0,BEV,2019-05-01,,
308,Kia,Soul EV,EV Limited,"$5,000",2020.0,BEV,2019-05-01,,
309,MINI,Cooper SE 3 Door,Classic,"$5,000",2020.0,BEV,2020-02-13,,
