,Make,Model,Trim,Rebate-Fed,Year-Fed,Category,Eligibility
78,Ford,Escape PHEV,SEL,"$2,500",2020,PHEV,2020-02-27
79,Ford,*Escape PHEV,Titanium,$5000,2020,PHEV,2022-04-25
80,Ford,*Escape PHEV,SEL,$5000,2020,PHEV,2022-04-25
81,Ford,Escape PHEV,SE,"$2,500",2021,PHEV,2021-02-08
82,Ford,Escape PHEV,Titanium,"$2,500",2021,PHEV,2021-02-08
83,Ford,Escape PHEV,SEL,"$2,500",2021,PHEV,2021-02-08
84,Ford,*Escape PHEV,Titanium,$5000,2021,PHEV,2022-04-25
85,Ford,Escape PHEV,SE,"$2,500",2020,PHEV,2020-02-27
86,Ford,Fusion Energi,SEL,"$2,500",2020,PHEV,2019-08-13
87,Ford,*Escape PHEV,SE,$5000,2020,PHEV,2022-04-25
88,Ford,Fusion Energi,Titanium,"$2,500",2020,PHEV,2019-08-13
89,Ford,Fusion Energi,SEL,"$2,500",2018,PHEV,2019-05-01
90,Ford,*Escape PHEV,Titanium,$5000,2022,PHEV,2022-04-25
91,Ford,Mach E,Premium RWD Standard range,"$5,000",2022,BEV,2022-04-25
92,Ford,Mach E,Select eAWD Standard Range,"$5,000",2022,BEV,2022-04-25
93,Ford,Focus,Electric,"$5,000",2018,BEV,2019-05-01
94,Ford,Mach E,Select RWD Standard Range,"$5,000",2022,BEV,2022-04-25
95,Ford,Escape PHEV,Titanium,"$2,500",2022,PHEV,2021-11-25
96,Ford,Escape PHEV,SEL,"$2,500",2022,PHEV,2021-11-25
97,Ford,Escape PHEV,SE,"$2,500",2022,PHEV,2021-11-25
98,Ford,*Escape PHEV,SEL,$5000,2022,PHEV,2022-04-25
99,Ford,*Escape PHEV,SE,$5000,2022,PHEV,2022-04-25
100,Ford,Mach E,Premium eAWD Standard range,"$5,000",2022,BEV,2022-04-25
101,Ford,Fusion Energi,Titanium,"$2,500",2018,PHEV,2019-05-01
102,Ford,Fusion Energi,Platinum,"$2,500",2019,PHEV,2019-05-01
103,Ford,Fusion Energi,Platinum,"$2,500",2018,PHEV,2019-05-01
104,Ford,*Escape PHEV,SEL,$5000,2021,PHEV,2022-04-25
105,Ford,Fusion Energi,Titanium,"$2,500",2019,PHEV,2019-05-01
106,Honda,Clarity Plug-in Hybrid,Base Touring,"$5,000",2020,PHEV,2019-12-03
107,Honda,Clarity Plug-in Hybrid,Base Touring,"$5,000",2018,PHEV,2019-12-03
108,Honda,Clarity Plug-in Hybrid,Base,"$5,000",2021,PHEV,2020-12-09
109,Honda,Clarity Plug-in Hybrid,Touring,"$5,000",2019,PHEV,2019-05-01
110,Honda,Clarity Plug-in Hybrid,Touring,"$5,000",2021,PHEV,2020-12-09
111,Honda,Clarity Plug-in Hybrid,Base,"$5,000",2019,PHEV,2019-05-01
112,Hyundai,Tucson PHEV,Luxury,"$2,500",2022,PHEV,2021-07-20
113,Hyundai,Santa Fe PHEV,Luxury,"$2,500",2022,PHEV,2021-07-12
114,Hyundai,Ioniq electric Plus,Ultimate,"$2,500", 2019,PHEV,2019-05-01
115,Hyundai,Santa Fe PHEV,Preferred,"$2,500",2022,PHEV,2021-07-12
116,Hyundai,IONIQ 5,Preferred AWD Long Range,"$5,000",2022,BEV,2021-11-16
117,Hyundai,Ioniq plug-In hybrid,Preferred,"$2,500",2022,PHEV,2021-09-16
118,Hyundai,Kona Electric,Preferred,"$5,000",2022,BEV,2021-07-13
119,Hyundai,Kona Electric,Preferred - 2 tone,"$5,000",2022,BEV,2021-07-13
120,Hyundai,Kona Electric,Preferred,"$5,000",2020,BEV,2019-10-15
121,Hyundai,Ioniq plug-In hybrid,Ultimate,"$2,500",2021,PHEV,2021-01-27
122,Hyundai,Kona Electric,Ultimate,"$5,000",2020,BEV,2019-10-15
123,Hyundai,Ioniq plug-In hybrid,Essential,"$2,500",2022,PHEV,2021-09-16
124,Hyundai,Ioniq electric,Preferred,"$5,000",2021,BEV,2021-01-27
125,Hyundai,Ioniq electric,Ultimate,"$5,000",2020,BEV,2020-01-16
126,Hyundai,IONIQ 5,Preferred,"$5,000",2022,BEV,2021-11-16
127,Hyundai,Ioniq plug-In hybrid,Essential,"$2,500",2021,PHEV,2021-01-27
128,Hyundai,Ioniq plug-In hybrid,Preferred,"$2,500",2021,PHEV,2021-01-27
129,Hyundai,Kona Electric,Preferred Ultimate,"$5,000",2019,BEV,2019-05-01
130,Hyundai,Ioniq Electric,SE CCP,"$5,000",2017,BEV,2019-06-17
131,Hyundai,Ioniq Electric,SE CCP,"$5,000",2018,BEV,2019-06-17
132,Hyundai,Ioniq Electric,SE,"$5,000",2017,BEV,2019-06-17
133,Hyundai,Ioniq Electric,SE,"$5,000",2018,BEV,2019-06-17
134,Hyundai,Ioniq Electric,Limited,"$5,000",2017,BEV,2019-06-17
135,Hyundai,Ioniq Electric,Limited,"$5,000",2018,BEV,2019-06-17
136,Hyundai,Sonata PHEV,Ultimate,"$2,500", 2018,PHEV,2019-05-01
137,Hyundai,Sonata PHEV,Ultimate,"$2,500",2019,PHEV,2019-05-01
138,Hyundai,Ioniq electric,Preferred,"$5,000",2020,BEV,2020-01-16
139,Hyundai,Ioniq electric,Ultimate,"$5,000",2021,BEV,2021-01-27
140,Hyundai,Sonata PHEV,Ultimate,"$2,500",2017,PHEV,2019-06-17
141,Hyundai,Ioniq plug-In hybrid,Ultimate,"$2,500",2022,PHEV,2021-09-16
142,Hyundai,Kona Electric,Preferred,"$5,000",2023,BEV,2022-07-22
143,Hyundai,Ioniq Plug-In hybrid,Preferred,"$2,500",2020,PHEV,2020-01-08
144,Hyundai,Kona Electric,Ultimate,"$5,000",2022,BEV,2021-07-13
145,Hyundai,Ioniq Plug-In hybrid,Ultimate,"$2,500",2020,PHEV,2020-01-08
146,Hyundai,Kona Electric,Preferred - 2 tone,"$5,000",2020,BEV,2019-10-15
